Year	Sex	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1933	male	0	0.06859	0.06515	0.23	100000	6515	94978	5917457	59.17
1933	male	1	0.00516	0.02037	1.41	93485	1904	369018	5822480	62.28
1933	male	5	0.00177	0.00882	2.33	91581	808	455751	5453462	59.55
1933	male	10	0.00153	0.00763	2.61	90773	693	452210	4997711	55.06
1933	male	15	0.00248	0.01231	2.68	90081	1109	447830	4545501	50.46
1933	male	20	0.00346	0.01716	2.57	88971	1527	441150	4097670	46.06
1933	male	25	0.00388	0.01921	2.53	87445	1680	433083	3656520	41.82
1933	male	30	0.00465	0.02301	2.6	85765	1974	424083	3223437	37.58
1933	male	35	0.00607	0.02991	2.57	83791	2506	412871	2799353	33.41
1933	male	40	0.00781	0.03833	2.62	81285	3116	399005	2386482	29.36
1933	male	45	0.01109	0.05403	2.62	78169	4223	380775	1987477	25.43
1933	male	50	0.01531	0.07384	2.58	73946	5460	356531	1606701	21.73
1933	male	55	0.02092	0.09965	2.62	68486	6825	326176	1250171	18.25
1933	male	60	0.03155	0.14651	2.57	61661	9034	286371	923995	14.99
1933	male	65	0.04415	0.19947	2.58	52627	10498	237780	637623	12.12
1933	male	70	0.06956	0.29636	2.5	42129	12485	179494	399843	9.49
1933	male	75	0.09664	0.38838	2.47	29644	11513	119130	220349	7.43
1933	male	80	0.14848	0.53357	2.36	18131	9674	65155	101219	5.58
1933	male	85	0.21404	0.66951	2.2	8457	5662	26452	36064	4.26
1933	male	90	0.27099	0.7463	1.99	2795	2086	7697	9611	3.44
1933	male	95	0.35805	0.84685	1.89	709	600	1677	1914	2.7
1933	male	100	0.44975	0.90716	1.71	109	99	219	237	2.19
1933	male	105	0.54518	0.94514	1.54	10	10	17	18	1.82
1933	male	110	0.6221	1	1.61	1	1	1	1	1.61
1934	male	0	0.07579	0.0717	0.25	100000	7170	94611	5834317	58.34
1934	male	1	0.00566	0.02232	1.38	92830	2072	365900	5739706	61.83
1934	male	5	0.00183	0.00911	2.32	90758	827	451574	5373806	59.21
1934	male	10	0.00155	0.00771	2.6	89931	693	447989	4922232	54.73
1934	male	15	0.00252	0.01255	2.69	89238	1120	443600	4474243	50.14
1934	male	20	0.00355	0.01759	2.57	88118	1550	436819	4030642	45.74
1934	male	25	0.00394	0.0195	2.53	86567	1688	428673	3593824	41.51
1934	male	30	0.00473	0.02339	2.59	84879	1985	419620	3165151	37.29
1934	male	35	0.00621	0.0306	2.58	82894	2536	408337	2745531	33.12
1934	male	40	0.00796	0.03907	2.61	80358	3140	394288	2337194	29.08
1934	male	45	0.01142	0.0556	2.63	77218	4293	375900	1942906	25.16
1934	male	50	0.01615	0.07771	2.58	72925	5667	350917	1567006	21.49
1934	male	55	0.02139	0.10173	2.6	67258	6842	319880	1216089	18.08
1934	male	60	0.03208	0.14886	2.58	60416	8994	280320	896209	14.83
1934	male	65	0.04518	0.20354	2.57	51422	10466	231684	615889	11.98
1934	male	70	0.07051	0.30014	2.52	40956	12293	174327	384205	9.38
1934	male	75	0.09979	0.39832	2.47	28663	11417	114411	209878	7.32
1934	male	80	0.1501	0.53698	2.35	17246	9261	61697	95467	5.54
1934	male	85	0.21396	0.66979	2.21	7985	5348	24998	33771	4.23
1934	male	90	0.28311	0.76392	1.99	2637	2014	7115	8773	3.33
1934	male	95	0.36345	0.8514	1.88	623	530	1458	1658	2.66
1934	male	100	0.45661	0.91069	1.7	93	84	185	199	2.15
1934	male	105	0.55312	0.94757	1.53	8	8	14	15	1.8
1934	male	110	0.63071	1	1.59	0	0	1	1	1.59
1935	male	0	0.06968	0.06614	0.23	100000	6614	94921	5897274	58.97
1935	male	1	0.00492	0.01942	1.43	93386	1814	368885	5802353	62.13
1935	male	5	0.00179	0.00893	2.35	91572	818	455692	5433468	59.34
1935	male	10	0.00158	0.00789	2.59	90755	716	452048	4977777	54.85
1935	male	15	0.00251	0.01248	2.68	90039	1124	447588	4525728	50.26
1935	male	20	0.00347	0.01721	2.57	88915	1530	440864	4078140	45.87
1935	male	25	0.00397	0.01964	2.53	87385	1717	432686	3637277	41.62
1935	male	30	0.00461	0.02282	2.59	85668	1955	423639	3204590	37.41
1935	male	35	0.00632	0.03113	2.6	83713	2606	412306	2780951	33.22
1935	male	40	0.00797	0.03912	2.59	81107	3173	397902	2368645	29.2
1935	male	45	0.01125	0.05479	2.62	77935	4270	379518	1970743	25.29
1935	male	50	0.01585	0.07632	2.59	73664	5622	354799	1591224	21.6
1935	male	55	0.02149	0.10214	2.59	68042	6950	323455	1236425	18.17
1935	male	60	0.03115	0.14488	2.59	61092	8851	284166	912970	14.94
1935	male	65	0.04576	0.20583	2.56	52241	10753	234971	628804	12.04
1935	male	70	0.06816	0.29173	2.53	41488	12103	177587	393833	9.49
1935	male	75	0.0995	0.3975	2.47	29385	11680	117395	216246	7.36
1935	male	80	0.14725	0.53	2.36	17705	9383	63723	98851	5.58
1935	male	85	0.21509	0.67267	2.22	8321	5597	26023	35128	4.22
1935	male	90	0.28062	0.75892	1.98	2724	2067	7366	9105	3.34
1935	male	95	0.36544	0.85324	1.88	657	560	1533	1739	2.65
1935	male	100	0.46091	0.91297	1.69	96	88	191	206	2.14
1935	male	105	0.55959	0.94955	1.52	8	8	14	15	1.78
1935	male	110	0.63874	1	1.57	0	0	1	1	1.57
1936	male	0	0.07011	0.06653	0.23	100000	6653	94898	5836161	58.36
1936	male	1	0.00491	0.01938	1.4	93347	1809	368687	5741263	61.5
1936	male	5	0.00175	0.00869	2.35	91538	796	455583	5372575	58.69
1936	male	10	0.00156	0.00776	2.61	90742	704	452030	4916992	54.19
1936	male	15	0.00261	0.01298	2.7	90038	1169	447497	4464962	49.59
1936	male	20	0.00358	0.01774	2.56	88869	1576	440502	4017464	45.21
1936	male	25	0.00404	0.01999	2.53	87293	1745	432161	3576962	40.98
1936	male	30	0.00475	0.02347	2.59	85548	2008	422905	3144801	36.76
1936	male	35	0.00656	0.03229	2.62	83539	2698	411271	2721897	32.58
1936	male	40	0.0086	0.04213	2.58	80842	3406	395982	2310625	28.58
1936	male	45	0.01179	0.05733	2.62	77436	4440	376609	1914643	24.73
1936	male	50	0.0168	0.08072	2.6	72997	5892	350832	1538034	21.07
1936	male	55	0.02271	0.10762	2.58	67104	7222	318047	1187202	17.69
1936	male	60	0.03267	0.15146	2.59	59883	9070	277594	869155	14.51
1936	male	65	0.04828	0.21583	2.55	50813	10967	227157	591561	11.64
1936	male	70	0.07045	0.30022	2.54	39846	11963	169800	364404	9.15
1936	male	75	0.10721	0.421	2.45	27883	11739	109491	194604	6.98
1936	male	80	0.15763	0.55536	2.34	16144	8966	56878	85113	5.27
1936	male	85	0.23251	0.70225	2.18	7178	5041	21681	28234	3.93
1936	male	90	0.30917	0.7939	1.94	2137	1697	5488	6553	3.07
1936	male	95	0.40316	0.88125	1.81	440	388	963	1065	2.42
1936	male	100	0.50755	0.93321	1.61	52	49	96	102	1.95
