Year	Sex	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1933	male	0	0.06859	0.06515	0.23	100000	6515	94978	5917457	59.17
1933	male	1	0.01004	0.00999	0.5	93485	934	93018	5822480	62.28
1933	male	2	0.00467	0.00466	0.5	92551	431	92336	5729461	61.91
1933	male	3	0.00333	0.00333	0.5	92120	307	91967	5637126	61.19
1933	male	4	0.00254	0.00253	0.5	91814	233	91697	5545159	60.4
1933	male	5	0.00209	0.00209	0.5	91581	191	91485	5453462	59.55
1933	male	6	0.0019	0.0019	0.5	91390	173	91303	5361976	58.67
1933	male	7	0.00174	0.00174	0.5	91216	159	91137	5270673	57.78
1933	male	8	0.00161	0.00161	0.5	91057	147	90984	5179536	56.88
1933	male	9	0.00151	0.00151	0.5	90911	137	90842	5088553	55.97
1933	male	10	0.00144	0.00143	0.5	90773	130	90708	4997711	55.06
1933	male	11	0.00141	0.00141	0.5	90643	128	90579	4907002	54.14
1933	male	12	0.00146	0.00146	0.5	90516	132	90450	4816423	53.21
1933	male	13	0.00158	0.00158	0.5	90384	143	90312	4725973	52.29
1933	male	14	0.00177	0.00177	0.5	90241	160	90161	4635661	51.37
1933	male	15	0.00201	0.00201	0.5	90081	181	89990	4545501	50.46
1933	male	16	0.00225	0.00225	0.5	89900	202	89798	4455510	49.56
1933	male	17	0.00248	0.00248	0.5	89697	222	89586	4365712	48.67
1933	male	18	0.00271	0.0027	0.5	89475	242	89354	4276126	47.79
1933	male	19	0.00293	0.00293	0.5	89233	261	89102	4186772	46.92
1933	male	20	0.00315	0.00315	0.5	88971	280	88832	4097670	46.06
1933	male	21	0.00334	0.00334	0.5	88692	296	88544	4008839	45.2
1933	male	22	0.0035	0.00349	0.5	88396	309	88241	3920295	44.35
1933	male	23	0.00362	0.00361	0.5	88087	318	87928	3832054	43.5
1933	male	24	0.00369	0.00369	0.5	87768	324	87607	3744127	42.66
1933	male	25	0.00373	0.00373	0.5	87445	326	87282	3656520	41.82
1933	male	26	0.00379	0.00378	0.5	87119	329	86954	3569238	40.97
1933	male	27	0.00386	0.00385	0.5	86790	334	86623	3482284	40.12
1933	male	28	0.00395	0.00394	0.5	86455	341	86285	3395661	39.28
1933	male	29	0.00407	0.00406	0.5	86114	349	85940	3309376	38.43
1933	male	30	0.00421	0.0042	0.5	85765	360	85585	3223437	37.58
1933	male	31	0.00438	0.00438	0.5	85405	374	85218	3137852	36.74
1933	male	32	0.00461	0.0046	0.5	85031	391	84836	3052633	35.9
1933	male	33	0.00488	0.00487	0.5	84640	412	84434	2967797	35.06
