cost	year	age	sex	cause	rate
high	2100	0	female	total	120.5
high	2095	0	female	total	129.8
high	2090	0	female	total	139.8
high	2085	0	female	total	150.7
high	2080	0	female	total	162.4
high	2075	0	female	total	175
high	2070	0	female	total	188.6
high	2065	0	female	total	203.3
high	2060	0	female	total	219.1
high	2055	0	female	total	236.2
high	2050	0	female	total	254.7
high	2045	0	female	total	274.7
high	2040	0	female	total	296.3
high	2035	0	female	total	319.6
high	2030	0	female	total	344.8
high	2025	0	female	total	372.3
high	2020	0	female	total	403
high	2015	0	female	total	438.8
high	2010	0	female	total	486.4
high	2006	0	female	total	547.9
high	2005	0	female	total	570.2
high	2004	0	female	total	585.5
high	2003	0	female	total	601.2
high	2001	0	female	total	614.2
high	2002	0	female	total	632.2
high	2000	0	female	total	652.7
high	1999	0	female	total	663.7
high	1997	0	female	total	669.5
high	1996	0	female	total	685.3
high	1998	0	female	total	686.1
high	1995	0	female	total	700.6
high	1994	0	female	total	742.3
high	1993	0	female	total	764.1
high	1992	0	female	total	776.6
high	1991	0	female	total	805.7
high	1990	0	female	total	848.3
high	1989	0	female	total	917.3
high	1987	0	female	total	918.6
high	1988	0	female	total	921.4
high	1986	0	female	total	923.1
high	1985	0	female	total	950.7
high	1984	0	female	total	987.4
high	1983	0	female	total	991.5
high	1982	0	female	total	1030
high	1981	0	female	total	1070.4
high	1980	0	female	total	1133.7
high	1979	0	female	total	1176.9
high	2100	1	female	total	5
high	2095	1	female	total	5.4
high	2090	1	female	total	5.8
high	2085	1	female	total	6.2
high	2080	1	female	total	6.6
high	2075	1	female	total	7.1
high	2070	1	female	total	7.6
high	2065	1	female	total	8.2
high	2060	1	female	total	8.8
high	2055	1	female	total	9.5
high	2050	1	female	total	10.2
high	2045	1	female	total	11
high	2040	1	female	total	11.9
high	2035	1	female	total	12.8
high	2030	1	female	total	13.9
high	2025	1	female	total	15.1
high	2020	1	female	total	16.5
high	2015	1	female	total	18.1
high	2010	1	female	total	20.4
high	2006	1	female	total	23.5
high	2005	1	female	total	24.6
high	2004	1	female	total	25.4
high	2003	1	female	total	26.2
high	2002	1	female	total	27
high	2000	1	female	total	28.8
high	2001	1	female	total	29.5
high	1999	1	female	total	30.3
high	1998	1	female	total	31
high	1997	1	female	total	31.5
high	1996	1	female	total	34
high	1995	1	female	total	36
high	1994	1	female	total	38
high	1992	1	female	total	38.9
high	1993	1	female	total	39.8
high	1990	1	female	total	40.9
high	1991	1	female	total	42.7
high	1989	1	female	total	44.5
high	1985	1	female	total	44.8
high	1988	1	female	total	45.5
high	1987	1	female	total	45.8
high	1986	1	female	total	46.2
high	1984	1	female	total	46.8
high	1983	1	female	total	48.4
high	1982	1	female	total	52.2
high	1981	1	female	total	53.1
high	1980	1	female	total	54.4
high	1979	1	female	total	57
high	2100	5	female	total	2.5
high	2095	5	female	total	2.6
high	2090	5	female	total	2.8
high	2085	5	female	total	3
high	2080	5	female	total	3.2
high	2075	5	female	total	3.5
high	2070	5	female	total	3.7
high	2065	5	female	total	4
high	2060	5	female	total	4.3
high	2055	5	female	total	4.7
high	2050	5	female	total	5
high	2045	5	female	total	5.5
high	2040	5	female	total	5.9
high	2035	5	female	total	6.4
high	2030	5	female	total	7
high	2025	5	female	total	7.7
high	2020	5	female	total	8.5
high	2015	5	female	total	9.4
high	2010	5	female	total	10.6
high	2006	5	female	total	12
high	2005	5	female	total	12.5
high	2004	5	female	total	12.8
high	2003	5	female	total	13.1
high	2002	5	female	total	13.5
high	2001	5	female	total	13.8
high	2000	5	female	total	14
high	1998	5	female	total	14.9
high	1999	5	female	total	15
high	1997	5	female	total	16.2
high	1996	5	female	total	16.3
high	1995	5	female	total	16.5
high	1992	5	female	total	16.8
high	1994	5	female	total	16.8
high	1991	5	female	total	18.3
high	1990	5	female	total	18.5
high	1993	5	female	total	18.8
high	1987	5	female	total	19.6
high	1986	5	female	total	19.7
high	1988	5	female	total	20.6
high	1989	5	female	total	20.6
high	1984	5	female	total	20.8
high	1985	5	female	total	21.4
high	1983	5	female	total	22
high	1982	5	female	total	23.5
high	1981	5	female	total	23.6
high	1979	5	female	total	25.3
high	1980	5	female	total	25.7
high	2100	10	female	total	3.3
high	2095	10	female	total	3.5
high	2090	10	female	total	3.7
high	2085	10	female	total	4
high	2080	10	female	total	4.3
high	2075	10	female	total	4.6
high	2070	10	female	total	4.9
high	2065	10	female	total	5.3
high	2060	10	female	total	5.7
high	2055	10	female	total	6.2
high	2050	10	female	total	6.6
high	2045	10	female	total	7.2
high	2040	10	female	total	7.8
high	2035	10	female	total	8.4
high	2030	10	female	total	9.2
high	2025	10	female	total	10
high	2020	10	female	total	11
high	2015	10	female	total	12
high	2010	10	female	total	13.3
high	2006	10	female	total	14.5
high	2005	10	female	total	14.8
high	2004	10	female	total	15
high	2003	10	female	total	15.2
high	2001	10	female	total	15.3
high	2002	10	female	total	15.9
high	2000	10	female	total	16
high	1999	10	female	total	16.2
high	1998	10	female	total	16.7
high	1997	10	female	total	17.8
high	1992	10	female	total	18
high	1991	10	female	total	18.2
high	1996	10	female	total	18.4
high	1994	10	female	total	18.6
high	1987	10	female	total	18.8
high	1993	10	female	total	19
high	1995	10	female	total	19.3
high	1990	10	female	total	20
high	1983	10	female	total	20.2
high	1986	10	female	total	20.4
high	1985	10	female	total	20.6
high	1989	10	female	total	20.6
high	1988	10	female	total	20.7
high	1982	10	female	total	21.1
high	1984	10	female	total	21.5
high	1981	10	female	total	22
high	1980	10	female	total	22.9
high	1979	10	female	total	23.3
high	2100	15	female	total	9.2
high	2095	15	female	total	9.9
high	2090	15	female	total	10.6
high	2085	15	female	total	11.4
high	2080	15	female	total	12.3
high	2075	15	female	total	13.2
high	2070	15	female	total	14.2
high	2065	15	female	total	15.3
high	2060	15	female	total	16.4
high	2055	15	female	total	17.7
high	2050	15	female	total	19.1
high	2045	15	female	total	20.5
high	2040	15	female	total	22.1
high	2035	15	female	total	23.9
high	2030	15	female	total	25.8
high	2025	15	female	total	27.8
high	2020	15	female	total	30.1
high	2015	15	female	total	32.5
high	2010	15	female	total	35
high	2006	15	female	total	37.2
high	2005	15	female	total	37.7
high	2004	15	female	total	38.1
high	2003	15	female	total	38.4
high	2001	15	female	total	38.5
high	2000	15	female	total	39.3
high	1998	15	female	total	40.2
high	2002	15	female	total	40.2
high	1999	15	female	total	41
high	1997	15	female	total	42.5
high	1996	15	female	total	43.3
high	1992	15	female	total	43.7
high	1994	15	female	total	44.2
