"","our.male","ssa.male","difference.male","our.female","ssa.female","difference.female"
"0",NA,78.13,NA,82.4717543859649,81.93,6.50105263157889
"1",NA,77.49,NA,81.6942105263158,81.23,5.57052631578938
"5",NA,73.55,NA,77.7349122807017,77.28,5.45894736842098
"10",NA,68.58,NA,72.7608771929824,72.31,5.41052631578935
"15",NA,63.63,NA,67.7947368421053,67.35,5.33684210526326
"20",NA,58.83,NA,62.8854385964912,62.44,5.34526315789475
"25",NA,54.14,NA,57.9977192982456,57.56,5.25263157894733
"30",NA,49.4,NA,53.1287719298246,52.68,5.38526315789471
"35",NA,44.64,NA,48.2957894736842,47.82,5.70947368421051
"40",NA,39.94,NA,43.5219298245614,43.04,5.78315789473686
"45",NA,35.38,NA,38.8229824561404,38.35,5.6757894736842
"50",NA,30.97,NA,34.2240350877193,33.74,5.80842105263159
"55",NA,26.68,NA,29.7538596491228,29.19,6.76631578947365
"60",NA,22.47,NA,25.4487719298246,24.75,8.38526315789476
"65",NA,18.46,NA,21.3582456140351,20.51,10.178947368421
"70",NA,14.77,NA,17.4889473684211,16.56,11.1473684210526
"75",NA,11.44,NA,13.9024561403509,12.95,11.4294736842105
"80",NA,8.48,NA,10.6456140350877,9.7,11.3473684210526
"85",NA,5.93,NA,7.85473684210526,6.87,11.8168421052632
"90",NA,4.1,NA,5.60140350877193,4.78,9.85684210526315
"95",NA,2.86,NA,3.86315789473684,3.29,6.87789473684211
