"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"0",0.0118674236444973,0.0115305278543472,0.0112031959574917,0.0108851564514144,0.0105761455410885,0.010275906920176,0.00998419155843545,0.00970075749516686,0.00942536963851903,0.00915779957049512,0.00889782535749306,0.00864523136622508,0.0083998080848623,0.00816135194925682,0.00792966517409776,0.00770455558885996,0.00748583647840928,0.00727332642813416,0.00706684917347211,0.00686623345370951,0.00667131286993006,0.00648192574699735,0.00629791499945464,0.00611912800123171,0.00594541645905034,0.00577663628942415,0.00561264749914958,0.00545331406919014,0.00529850384185582,0.00514808841118697,0.00500194301644885,0.00485994643864951,0.00472198089999654,0.00458793196620655,0.00445768845158934,0.00433114232682552,0.00420818862936268,0.00408872537635518,0.00397265348007514,0.00385987666572563,0.00375030139158561,0.00364383677142299,0.00354039449911003,0.00343988877537837,0.00334223623665342,0.00324735588590952
"1",0.00227685095767205,0.00221348308674796,0.00215187763067304,0.00209198564282953,0.0020337595319736,0.00197715302492618,0.00192212113028045,0.00186862010309519,0.00181660741054979,0.00176604169853623,0.00171688275916027,0.00166909149913097,0.0016226299090123,0.00157746103331491,0.00153354894140478,0.00149085869920851,0.00144935634169241,0.00140900884609363,0.00136978410588695,0.0013316509054625,0.00129457889549944,0.00125853856901414,0.0012235012380658,0.00118943901110224,0.0011563247709262,0.00112413215326923,0.00109283552595263,0.00106240996862184,0.00103283125303977,0.00100407582391915,0.000976120780286749,0.000948943857356554,0.000922523408905196,0.000896838390131771,0.0008718683409904,0.000847593369981747,0.000823994138392847,0.000801051844969591,0.000778748211015312,0.000757065465896822,0.000735986332954019,0.000715494015796847,0.000695572184980953,0.000676204965051608,0.000657376921946562,0.000639073050745287
"5",0.00137332456863404,0.00133672136972785,0.0013010934226011,0.00126641476478384,0.00123266012368017,0.00119980489830807,0.00116782514151803,0.00113669754267887,0.00110639941081869,0.00107690865821053,0.00104820378438697,0.00102026386057741,0.000993068514555051,0.000966597915881829,0.000940832761543553,0.000915754261961111,0.00089134412737446,0.000867584554580691,0.000844458214026567,0.000821948237238912,0.000800038204586961,0.000778712133369552,0.000757954466214517,0.000737750059786824,0.000718084173793598,0.000698942460279795,0.000680310953208641,0.000662176058314867,0.000644524543228719,0.00062734352785998,0.000610620475037016,0.000594343181393509,0.000578499768495777,0.000563078674206685,0.000548068644276256,0.000533458724156999,0.000519238251034171,0.000505396846069872,0.00049192440684942,0.000478811100030341,0.000466047354185983,0.000453623852838647,0.000441531527676675,0.000429761551952956,0.000418305334057512,0.000407154511260943
"10",0.00178658378630703,0.00174141475937184,0.00169738716626355,0.00165447219529502,0.00161264176026255,0.00157186848227031,0.00153212567200489,0.00149338731245108,0.00145562804203392,0.00141882313818376,0.00138294850130438,0.00134798063914332,0.00131389665155002,0.00128067421561295,0.00124829157116646,0.00121672750665924,0.00118596134537408,0.00115597293199166,0.00112674261948942,0.00109825125636698,0.00107048017418976,0.00104341117544537,0.00101702652170077,0.000991308922057121,0.000966241521892952,0.000941807891887692,0.000917992017320235,0.000894778287636288,0.000872151486275063,0.000850096780750542,0.000828599712983768,0.000807646189873834,0.000787222474106453,0.000767315175194349,0.000747911240739474,0.000728997947915921,0.0007105628951668,0.000692593994108037,0.00067507946163603,0.000658007812233574,0.000641367850468755,0.000625148663681352,0.000609339614854321,0.000593930335663462,0.000578910719701287,0.000564270915872411
"15",0.00682721235564077,0.0066633541727531,0.00650341929509468,0.00634731425024237,0.00619494777021112,0.00604623074055077,0.00590107615056868,0.00575939904465061,0.00562111647466135,0.0054861474534017,0.00535441290910244,0.00522583564093126,0.00510034027549655,0.00497785322432243,0.00485830264227993,0.00474161838695186,0.00462773197891209,0.00451657656290083,0.00440808686987892,0.00430219917993813,0.00419885128605402,0.00409798245866244,0.00399953341103876,0.00390344626546935,0.00380966452019049,0.00371813301708601,0.00362879791012094,0.00354160663449965,0.00345650787652962,0.00337345154417901,0.00329238873830984,0.00321327172457209,0.00313605390594873,0.00306068979592933,0.00298713499230729,0.00291534615158062,0.00284528096394487,0.00277689812886728,0.00271015733122393,0.00264501921799454,0.00258144537549487,0.00251939830714176,0.00245884141173336,0.00239973896223589,0.00234205608506499,0.00228575873985071
"20",0.00950481471733367,0.00928717348076314,0.00907449850302266,0.00886667726949819,0.00866359977736298,0.00846515848122498,0.00827124823987025,0.00808176626408186,0.00789661206552117,0.00771568740664952,0.00753889625167492,0.00736614471850361,0.00719734103167957,0.00703239547629686,0.0068712203528638,0.00671372993310382,0.00655984041667701,0.00640946988880209,0.00626253827876666,0.00611896731930561,0.00597868050683492,0.00584160306251957,0.00570766189416749,0.00557678555892594,0.00544890422677069,0.00532394964477056,0.00520185510211202,0.00508255539586999,0.00496598679751015,0.00485208702010842,0.00474079518627313,0.00463205179675708,0.00452579869974357,0.00442197906079622,0.0043205373334565,0.0042214192304777,0.0041245716956817,0.004029942876425,0.00393748209666534,0.00384713983061169,0.00375886767695022,0.00367261833363008,0.00358834557320309,0.00350600421869785,0.00342555012002887,0.00334694013091508
"25",0.00954545466283518,0.0093376906798549,0.00913443303565232,0.00893558469164469,0.00874105066800091,0.00855073800131367,0.00836455570308636,0.00818241471901393,0.00800422788905175,0.00782990990825405,0.00765937728837407,0.00749254832020985,0.00732934303668553,0.0071696831766549,0.00701349214941549,0.00686069499992026,0.00671121837467681,0.00656499048831938,0.00642194109084471,0.00628200143549973,0.00614510424730663,0.00601118369221909,0.00588017534689456,0.00575201616907117,0.00562664446854377,0.00550399987871964,0.00538402332875232,0.00526665701623708,0.00515184438045846,0.00503953007618196,0.00492965994797845,0.00482218100507159,0.00471704139669604,0.00461419038796351,0.00451357833621768,0.00441515666787784,0.00431887785575513,0.00422469539683778,0.00413256379052973,0.00404243851734265,0.00395427601802423,0.00386803367311983,0.0037836697829563,0.00370114354804119,0.0036204150498681,0.00354144523212252
"30",0.0112385984248353,0.0110062391081467,0.0107786638284448,0.0105557749302503,0.0103374767163531,0.0101236754100097,0.00991427911780784,0.00970919779319024,0.00950834320062832,0.00931162888043524,0.00911897011421325,0.00893028389092032,0.00874548887355209,0.00856450536642817,0.00838725528307249,0.00821366211468211,0.00804365089917103,0.00787714819078555,0.00771408203027702,0.00755438191562707,0.00739797877331583,0.00724480493012214,0.00709479408545155,0.00694788128417923,0.00680400289000316,0.00666309655929542,0.00652510121544858,0.00638995702370249,0.00625760536645014,0.00612798881900889,0.00600105112585325,0.00587673717729975,0.00575499298663529,0.00563576566768387,0.0055190034128012,0.00540465547129287,0.0052926721282458,0.00518300468376798,0.00507560543262831,0.00497042764428857,0.00486742554332431,0.00476655429022188,0.00466776996255081,0.00457102953650046,0.00447629086877677,0.00438351267885206
"35",0.014405664808847,0.014122833605243,0.0138455251672686,0.0135736328546593,0.0133070520387279,0.013045680066309,0.0127894162242725,0.0125381617046024,0.0122918195700333,0.0120502947202402,0.011813493858573,0.0115813254593329,0.0113536997355823,0.0111305286074817,0.0109117256711494,0.0106972061680357,0.0104868869548058,0.0102806864737256,0.0100785247235448,0.00988032323086685,0.00968600502200578,0.00949549459531751,0.00930871789400323,0.0091256022793762,0.00894607650458745,0.00877007068880175,0.0085975162918206,0.00842834608914267,0.0082624941474575,0.00809989580056581,0.00794048762572075,0.00778420742038144,0.00763099417937651,0.00748078807246832,0.00733353042231421,0.00718916368281619,0.00704763141785536,0.00690887828040521,0.00677284999201588,0.00663949332266544,0.00650875607097157,0.00638058704475886,0.00625493604197535,0.00613175383195208,0.00601099213700263,0.00589260361435351
"40",0.019517564158831,0.0191538035914355,0.018796771836382,0.0184463463408713,0.0181024067120754,0.0177648346818007,0.0174335140716241,0.0171083307584977,0.0167891726408237,0.0164759296049928,0.0161684934923865,0.01586675806684,0.0155706189825642,0.0152799737525175,0.0149947217172357,0.0147147640141039,0.0144400035470775,0.014170344956842,0.0139056945914109,0.0136459604771575,0.0133910522902778,0.0131408813286774,0.0128953604842817,0.0126544042157644,0.0124179285216887,0.0121858509140602,0.0119580903922832,0.01173456741752,0.0115152038874454,0.0112999231113949,0.0110886497859021,0.0108813099706169,0.0106778310646053,0.0104781417830248,0.0102821721341669,0.0100898533968691,0.00990111809828709,0.0097158999920226,0.00953413403660586,0.00935575637432517,0.00918070431039963,0.00900891629249157,0.00884033189055378,0.00867489177700576,0.00851253770723781,0.0083532125004343
"45",0.0278434189946874,0.027350727519569,0.0268666590923459,0.0263910661983689,0.0259238037244491,0.025464728924197,0.025013701383697,0.0245705829875169,0.0241352378850599,0.023707532457256,0.0232873352836042,0.0228745171095573,0.0224689508142625,0.0220705113786484,0.021679075853871,0.0212945233301097,0.0209167349057205,0.0205455936567465,0.0201809846067809,0.0198227946971917,0.0194709127576974,0.0191252294773037,0.0187856373755906,0.0184520307743601,0.0181243057696334,0.0178023602040023,0.0174860936393337,0.0171754073298224,0.0168702041953953,0.0165703887954596,0.0162758673029996,0.0159865474790151,0.0157023386473026,0.0154231516695748,0.0151488989209194,0.0148794942655899,0.014614853033132,0.0143548919948391,0.0140995293405334,0.0138486846556762,0.0136022788987972,0.0133602343792433,0.0131224747352477,0.0128889249123093,0.0126595111418832,0.0124341609203839
"50",0.0408628935730245,0.0401763854387285,0.0395011754924148,0.0388370758531707,0.0381839018344708,0.0375414746671264,0.0369096291475255,0.0362882038825711,0.0356770392610696,0.0350759777129343,0.0344848633882938,0.0339035421541353,0.0333318668202802,0.0327697005018827,0.0322169150382561,0.0316733843191812,0.0311389571564994,0.0306134673278255,0.0300967484254272,0.0295886510571105,0.0290890520321536,0.0285978389381152,0.0281148968917222,0.0276401060112703,0.0271733418865091,0.0267144758671679,0.0262633729402466,0.0258198963328988,0.0253839100763523,0.0249552787416619,0.024533868524101,0.0241195505284949,0.0237122008209828,0.0233117003579024,0.0229179332358883,0.0225307852726858,0.022150143997228,0.0217758982952413,0.0214079387310807,0.0210461587478091,0.0206904536644083,0.0203407209766173,0.0199968605560903,0.0196587742642952,0.0193263652364835,0.0189995375183361
