"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"0",0.0114616750252658,0.0111787884402776,0.0109028838033721,0.0106337887924893,0.010371335338665,0.0101153595210593,0.00986570146457699,0.00962220524001345,0.00938471876666614,0.00915309371734963,0.00892718542575444,0.0087068527960924,0.00849195821497295,0.0082823674654533,0.00807794964321063,0.00787857707478257,0.00768412523782691,0.00749447268334791,0.00730950095984273,0.00712909453932042,0.0069531407451463,0.00678152968166734,0.00661415416557443,0.00645090965895911,0.00629169420402187,0.00613640835939255,0.00598495513802178,0.00583723994660601,0.00569317052650708,0.00555265689613027,0.00541561129472434,0.00528194812756855,0.0051515839125128,0.0050244372278373,0.0049004286613985,0.00477948076103085,0.00466151798617254,0.00454646666068459,0.00443425492683513,0.0043248127004194,0.00421807162698651,0.00411396503914807,0.00401242791493894,0.00391339683720671,0.00381680995400335
"1",0.0023223099120504,0.00225131709996085,0.00218249594918318,0.00211578003671253,0.00205110496779959,0.00198840831431057,0.00192762955494041,0.00186871001722533,0.00181159282130028,0.00175622282534882,0.00170254657269997,0.00165051224051727,0.00160006959004055,0.00155116991832571,0.00150376601144553,0.001457812099105,0.00141326381062878,0.00137007813228052,0.00132821336587641,0.00128762908864943,0.00124828611433292,0.00121014645542261,0.00117317328658428,0.00113733090917123,0.00110258471682045,0.00106890116209157,0.00103624772412136,0.00100459287726107,0.000973906060667607,0.000944157648817279,0.000915318922921404,0.000887362043207385,0.000860260022046866,0.000833986697899913,0.00080851671005544,0.000783825474139133,0.000759889158369221,0.00073668466053578,0.000714189585683034,0.000692382224469767,0.000671241532193223,0.000650747108451144,0.000630879177424881,0.000611618568765238,0.000592946699060626
"5",0.00143876817213595,0.00139314229339671,0.00134896646581606,0.00130619453109704,0.00126478180099998,0.00122468501059703,0.00118586227300677,0.00114827303555931,0.00111187803734769,0.0010766392681264,0.00104251992850712,0.00100948439142068,0.000977498164796198,0.00094652785542626,0.000916541133976212,0.000887506701106155,0.000859394254665747,0.000832174457932711,0.000805818908856115,0.000780300110282628,0.000755591441123693,0.000731667128441082,0.000708502220419516,0.000686072560199924,0.000664354760542052,0.000643326179296522,0.000622964895654721,0.000603249687155083,0.000584160007422896,0.000565675964615875,0.000547778300559409,0.000530448370542169,0.000513668123759636,0.000497420084377587,0.000481687333199532,0.000466453489919028,0.000451702695936862,0.00043741959772603,0.000423589330727392,0.00041019750375737,0.000397230183915353,0.000384673881968722,0.000372515538207385,0.000360742508747069,0.000349342552270038
"10",0.00172318083297762,0.00168216367957375,0.00164212698665878,0.0016030472346702,0.00156490146949007,0.00152766728885712,0.00149132282909981,0.00145584675219101,0.00142121823310859,0.00138741694750022,0.00135442305964439,0.00132221721069736,0.00129078050722364,0.00126009451000064,0.00123014122309173,0.00120090308318066,0.00117236294916334,0.00114450409198719,0.00111731018473682,0.00109076529295493,0.00106485386519795,0.00103956072381728,0.00101487105596199,0.000990770404797447,0.000967244660936451,0.00094428005407432,0.000921863144826229,0.000899980816760904,0.000878620268624508,0.000857769006753717,0.000837414837669193,0.000817545860848923,0.000798150461674086,0.000779217304545887,0.000760735326166939,0.000742693728985278,0.000725081974795705,0.000707889778495341,0.000691107101990052,0.000674724148245875,0.000658731355486775,0.000643119391528835,0.000627879148252797,0.000613001736210261,0.000598478479358455
"15",0.00608069918938026,0.00599299402313869,0.0059066305543295,0.00582158732473037,0.0057378432297861,0.00565537751269041,0.00557416975856295,0.0054941998887289,0.00541544815508865,0.00533789513458538,0.00526152172376393,0.00518630913342056,0.00511223888334156,0.00503929279713256,0.00496745299713175,0.00489670189940883,0.00482702220884945,0.00475839691432089,0.00469080928391841,0.00462424286029228,0.00455868145605387,0.00449410914925663,0.00443051027895602,0.00436786944084122,0.00430617148294288,0.00424540150141062,0.00418554483636335,0.00412658706780977,0.00406851401163477,0.00401131171565683,0.00395496645574989,0.00389946473203073,0.00384479326511145,0.00379093899241334,0.00373788906454553,0.00368563084174212,0.00363415189036087,0.003583439979441,0.00353348307731782,0.00348426934829593,0.00343578714937775,0.00338802502704727,0.00334097171410841,0.00329461612657689,0.00324894736062331
"20",0.00841139803897051,0.00832288379863955,0.00823530447808973,0.00814865019898792,0.00806291118671553,0.00797807776930115,0.00789414037636327,0.00781108953806453,0.00772891588407498,0.00764761014254611,0.00756716313909534,0.00748756579580012,0.00740880913020081,0.00733088425431594,0.0072537823736647,0.00717749478630047,0.00710201288185364,0.00702732814058405,0.00695343213244148,0.00688031651613819,0.00680797303822789,0.00673639353219535,0.00666556991755474,0.00659549419895744,0.00652615846530802,0.00645755488888844,0.00638967572449356,0.00632251330857225,0.00625606005837886,0.00619030847113333,0.00612525112318829,0.00606088066920618,0.00599718984134346,0.00593417144844344,0.00587181837523765,0.00581012358155475,0.00574908010153674,0.00568868104286502,0.00562891958599243,0.0055697889833839,0.0055112825587641,0.00545339370637432,0.00539611589023492,0.0053394426434159,0.00528336756731618
"25",0.00874680222465918,0.00862557711786205,0.00850604557588464,0.00838818379597861,0.0082719683102419,0.0081573759809569,0.00804438399599361,0.00793296986427217,0.00782311141128811,0.00771478677469639,0.00760797439995742,0.00750265303603903,0.0073988017311779,0.00729639982869956,0.00719542696289255,0.00709586305494092,0.0069976883089099,0.00690088320778837,0.00680542850958266,0.00671130524346653,0.00661849470598086,0.00652697845728667,0.00643673831746949,0.00634775636289431,0.00626001492260897,0.00617349657479938,0.00608818414329027,0.00600406069409698,0.00592110953202351,0.00583931419730588,0.00575865846230439,0.00567912632823886,0.0056007020219715,0.00552336999283099,0.00544711490948402,0.00537192165684686,0.0052977753330421,0.00522466124639587,0.00515256491247662,0.00508147205117693,0.00501136858383344,0.00494224063038784,0.00487407450658761,0.00480685672122427,0.00474057397341232
"30",0.0101551359997236,0.0100123627329026,0.00987161821815896,0.00973287350663044,0.0095961000601843,0.00946126974572503,0.00932835482957817,0.00919732797194483,0.00906816222143092,0.00894083100964782,0.00881530814588194,0.00869156781183711,0.00856958455644386,0.00844933329073893,0.00833078928281117,0.0082139281528153,0.00809872586805204,0.00798515873811156,0.00787320341008546,0.00776283686383761,0.00765403640734353,0.00754677967208672,0.00744104460852224,0.00733680948159521,0.00723405286632605,0.00713275364344901,0.00703289099511306,0.00693444440064073,0.00683739363234281,0.00674171875139029,0.0066474001037431,0.0065544183161329,0.00646275429210097,0.00637238920808958,0.0062833045095888,0.00619548190733199,0.00610890337354631,0.0060235511382537,0.00593940768562195,0.00585645575036631,0.00577467831420075,0.00569405860233651,0.00561458008003102,0.00553622644918195,0.00545898164497094
"35",0.0126299138670112,0.012500377855598,0.0123721944582124,0.0122453494137444,0.0121198286110441,0.0119956180873825,0.0118727040269277,0.0117510727592358,0.0116307107577548,0.0115116046383452,0.0113937411578128,0.0112771072124564,0.0111616898366297,0.011047476201317,0.0109344536127222,0.0108226095108722,0.010711931468234,0.010602407188344,0.0104940245044514,0.0103867713781759,0.0102806358981768,0.0101756062788364,0.0100716708589548,0.00996881810045991,0.00986703658712707,0.00976631502331504,0.00966664223271041,0.00956800715708717,0.00947039885507806,0.00937380650095754,0.00927821938343631,0.00918362690447017,0.00909001857807734,0.00899738402917083,0.00890571299239939,0.00881499531100294,0.00872522093567751,0.00863637992345201,0.00854846243657603,0.00846145874141957,0.00837535920738342,0.00829015430581992,0.00820583460896507,0.00812239078888199,0.00803981361641337
"40",0.017160310539914,0.0170369731070779,0.0169145270895904,0.0167929660566143,0.0166722836229425,0.0165524734486904,0.0164335292389898,0.0163154447436831,0.0161982137570216,0.016081830117363,0.0159662877068731,0.0158515804512284,0.015737702319319,0.0156246473229571,0.0155124095165814,0.0154009829969697,0.0152903619029491,0.0151805404151084,0.0150715127555138,0.0149632731874253,0.0148558160150146,0.0147491355830849,0.014643226276794,0.0145380825213758,0.0144336987818663,0.0143300695628312,0.0142271894080929,0.0141250529004612,0.0140236546614657,0.0139229893510885,0.0138230516675,0.0137238363467951,0.0136253381627321,0.0135275519264724,0.0134304724863229,0.013334094727478,0.0132384135717657,0.0131434239773942,0.013049120938699,0.012955499485893,0.0128625546848191,0.0127702816367008,0.0126786754778983,0.0125877313796642,0.0124974445479005
