"","year","historical","our.forecast"
"1",1980,3.28530554808122,3.21060660803474
"2",1981,3.23593670827947,3.18953686450225
"3",1982,3.19863987782213,3.1686860790828
"4",1983,3.20875970798414,3.14805289956506
"5",1984,3.18904373113821,3.12764548142907
"6",1985,3.19387607827086,3.10745887476955
"7",1986,3.16851848833741,3.08749722477625
"8",1987,3.14674684201419,3.06774520685364
"9",1988,3.146246837984,3.04818934594134
"10",1989,3.09116163024755,3.02883024482625
"11",1990,3.05182933380339,3.00967536783906
"12",1991,3.02743589512162,2.99072564445897
"13",1992,2.99395429991107,2.97136811109639
"14",1993,3.02444920274104,2.95289490712462
"15",1994,2.99432923056624,2.93462420103885
"16",1995,2.98282195309756,2.91652505330207
"17",1996,2.95743182540742,2.89867480712609
"18",1997,2.92716671853927,2.88114423714666
"19",1998,2.91012496726247,2.86386104692164
"20",1999,2.91205834194366,2.84676224332973
"21",2000,2.88664903871664,2.82977973643463
"22",2001,2.86070757775132,2.81283758909015
"23",2002,2.8442872160268,2.79594245487747
"24",2003,2.81480638848197,2.77912039452984
"25",2004,2.75195268671104,2.76240783849645
"26",2005,2.74511584952874,2.74583164356869
"27",2006,2.69580821340697,2.7293650361826
"28",2007,NA,2.71305180510993
"29",2008,NA,2.69683864785634
"30",2009,NA,2.68052313509905
"31",2010,NA,2.66428510091452
"32",2011,NA,2.64822579758575
"33",2012,NA,2.63213217995522
"34",2013,NA,2.6163614875259
"35",2014,NA,2.60105805508642
"36",2015,NA,2.58610297099559
"37",2016,NA,2.57117992192587
"38",2017,NA,2.55714969099535
"39",2018,NA,2.5440503548358
"40",2019,NA,2.53180623268641
"41",2020,NA,2.5213207310769
"42",2021,NA,2.51124996103857
"43",2022,NA,2.50170460010991
"44",2023,NA,2.49178861045737
"45",2024,NA,2.48051305086718
"46",2025,NA,2.46888545034412
"47",2026,NA,2.4568488275777
"48",2027,NA,2.44460329430096
"49",2028,NA,2.43227223643679
"50",2029,NA,2.41983847768762
"51",2030,NA,2.40733204694479
"52",2031,NA,2.39479928516281
